,EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
67,  29HE20130320,3.0,1.0,21.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,      7.1,   7.9985,  34.0002,2.0,    296.7,2.0,    297.0,2.0,     0.82,2.0,    16.00,2.0,     0.96,2.0,   2275.5,2.0,7.826,2.0,    25.00,   7.9978
68,  29HE20130320,3.0,1.0,22.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,      7.1,   7.9984,  34.0001,2.0,    296.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2271.1,2.0,-999.0,9.0,  -999.00,   7.9977
69,  29HE20130320,3.0,1.0,23.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,      7.1,   7.9985,  34.0002,2.0,    296.7,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2271.1,2.0,-999.0,9.0,  -999.00,   7.9978
70,  29HE20130320,3.0,1.0,24.0,2.0,20130323.0,2342.0,-49.506,-55.956,  744,      7.3,   7.9988,  34.0002,2.0,    296.5,2.0,    296.9,2.0,     0.82,2.0,    16.13,2.0,     1.00,2.0,   2271.0,2.0,7.8267,2.0,    25.00,   7.9981
71,  29HE20130320,4.0,1.0,1.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,   1205.3,   2.5566,  34.5340,2.0,    171.3,2.0,    170.6,2.0,    76.45,2.0,    34.64,2.0,     2.33,2.0,   2327.4,2.0,7.5491,2.0,    25.00,   2.4769
72,  29HE20130320,4.0,1.0,2.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,   1204.1,   2.5566,  34.5342,2.0,    171.0,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2327.4,2.0,-999.0,9.0,  -999.00,   2.4770
73,  29HE20130320,4.0,1.0,3.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,   1014.5,   3.1369,  34.3178,2.0,    205.6,2.0,    205.9,2.0,    46.21,2.0,    33.23,2.0,     2.24,2.0,   2312.3,2.0,7.5793,2.0,    25.00,   3.0671
74,  29HE20130320,4.0,1.0,4.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,   1013.9,   3.1367,  34.3178,2.0,    206.0,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2312.3,2.0,-999.0,9.0,  -999.00,   3.0670
75,  29HE20130320,4.0,1.0,5.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,    909.1,   3.3220,  34.2674,2.0,    219.3,2.0,    218.8,2.0,    38.42,2.0,    31.77,2.0,     2.16,2.0,   2306.8,2.0,7.5981,2.0,    25.00,   3.2590
76,  29HE20130320,4.0,1.0,6.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,    808.8,   3.5592,  34.2364,2.0,    230.0,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2302.7,2.0,-999.0,9.0,  -999.00,   3.5023
77,  29HE20130320,4.0,1.0,7.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,    809.0,   3.5591,  34.2363,2.0,    230.0,2.0,    229.7,2.0,    32.32,2.0,    30.49,2.0,     2.04,2.0,   2302.7,2.0,7.616,2.0,    25.00,   3.5022
78,  29HE20130320,4.0,1.0,8.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,    707.0,   3.7018,  34.1989,2.0,    244.2,2.0,    243.8,2.0,    27.30,2.0,    29.24,2.0,     1.96,2.0,   2300.2,2.0,7.6333,2.0,    25.00,   3.6519
79,  29HE20130320,4.0,1.0,9.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,    603.9,   3.7797,  34.1804,2.0,    251.5,2.0,    250.8,2.0,    24.67,2.0,    28.78,2.0,     1.91,2.0,   2297.9,2.0,7.6471,2.0,    25.00,   3.7372
80,  29HE20130320,4.0,1.0,10.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,    603.5,   3.7794,  34.1805,2.0,    251.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2297.9,2.0,-999.0,9.0,  -999.00,   3.7369
81,  29HE20130320,4.0,1.0,11.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,    505.0,   3.8875,  34.1601,2.0,    261.1,2.0,    260.1,2.0,    21.05,2.0,    27.62,2.0,     1.81,2.0,   2291.6,2.0,7.6564,2.0,    25.00,   3.8519
82,  29HE20130320,4.0,1.0,12.0,2.0,20130324.0,613.0,-48.906,-55.434, 1220,    402.2,   3.9658,  34.1459,2.0,    268.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2289.3,2.0,-999.0,9.0,  -999.00,   3.9375
